id;name;urk_mark;inter_mark;code_soei
0536;Тисяча гігакалорій;тис.Гкал;—;0301
06;ЕЛЕКТРИКА;;;
0601;*Ампер;А;A;0260
0602;Кілоампер;кА;kA;0266
0603;Міліампер;мА;mA;0259
0604;Мікроампер;мкА;A;0258
0605;Наноампер;нА;nA;—
0606;Пікоампер;пА;pA;—
0607;*Кулон;Кл;C;0270
0608;Мегакулон;МКл;MC;—
0609;Кілокулон;кКл;kC;—
0610;Мілікулон;мКл;mC;—
0611;Мікрокулон;мкКл;C;—
0612;Нанокулон;нКл;nC;—
0613;Пікокулон;пКл;pC;—
0614;Ампер-година;А·год;A·h;0263
0615;*Тисяча ампер-годин;тис.А·год;—;—
0616;Ампер-секунда;А·с;A·s;—
0617;Ампер на квадратний метр;А/м2;A/m2;—
0618;Мегаампер на квадратний метр;МА/м2;MA/m2;—
0619;Кілоампер на квадратний метр;кА/м2;kA/m2;—
0620;Ампер на квадратний сантиметр;А/см2;A/cm2;—
0621;Ампер на квадратний міліметр;А/мм2;A/mm2;—
0622;Ампер на метр;А/м;A/m;—
0623;Кілоампер на метр;кА/м;kA/m;—
0624;Ампер на сантиметр;А/см;A/cm;—
0625;Ампер на міліметр;А/мм;A/mm;—
0626;Кулон на кубічний метр;Кл/м3;C/m3;—
0627;Гігакулон на кубічний метр;ГКл/м3;GC/m3;—
0628;Мегакулон на кубічний метр;МКл/м3;MC/m3;—
0629;Кілокулон на кубічний метр;кКл/м3;kC/m3;—
0630;Мілікулон на кубічний метр;мКл/м3;mC/m3;—
0631;Мікрокулон на кубічний метр;мкКл/м3;C/m3;—
0632;Кулон на кубічний сантиметр;Кл/см3;C/cm3;—
0633;Кулон на кубічний міліметр;Кл/мм3;C/mm3;—
0634;Кулон на квадратний метр;Кл/м2;C/m2;—
0635;Мегакулон на квадратний метр;МКл/м2;MC/m2;—
0636;Кілокулон на квадратний метр;кКл/м2;kC/m2;—
0637;Мілікулон на квадратний метр;мКл/м2;mC/m2;—
0638;Мікрокулон на квадратний метр;мкКл/м2;C/m2;—
0639;Кулон на квадратний сантиметр;Кл/см2;C/cm2;—
0640;Кулон на квадратний міліметр;Кл/мм2;C/mm2;—
0641;*Вольт;В;V;0222
0642;Мегавольт;МВ;MV;0224
0643;*Кіловольт;кВ;kV;0223
0644;Мілівольт;мВ;mV;0221
0645;Мікровольт;мкВ;V;0220
0646;Вольт на метр;В/м;V/m;—
0647;Мегавольт на метр;МВ/м;MV/m;—
0648;Кіловольт на метр;кВ/м;kV/m;—
0649;Вольт на сантиметр;В/см;V/cm;—
0650;Вольт на міліметр;В/мм;V/mm;—
0651;Мілівольт на метр;мВ/м;mV/m;—
0652;Мікровольт на метр;мкВ/м;V/m;—
0653;*Фарад;Ф;F;0314
0654;Міліфарад;мФ;mF;—
0655;Мікрофарад;мкФ;F;0286
0656;Нанофарад;нФ;nF;—
0657;Пікофарад;пФ;pF;0285
0658;Фарад на метр;Ф/м;F/m;—
0659;Мікрофарад на метр;мкФ/м;F/m;—
0660;Нанофарад на метр;нФ/м;nF/m;—
0661;Пікофарад на метр;пФ/м;pF/m;—
0662;Кулон-метр;Кл·м;C·m;—
0663;*Ом;Ом;;0274
0664;Тераом;ТОм;T;—
0665;Гігаом;ГОм;G;0277
0666;Мегаом;МОм;M;0276
0667;Кілоом;кОм;k;0275
0668;Міліом;мОм;m;—
0669;Мікроом;мкОм;;—
0670;Ом-метр;Ом·м;·m;—
0671;Гігаом-метр;ГОм·м;G·m;—
0672;Мегаом-метр;МОм·м;M·m;—
0673;Кілоом-метр;кОм·м;k·m;—
0674;Міліом-метр;мОм·м;m·m;—
0675;Мікроом-метр;мкОм·м;·m;—
0676;Наноом-метр;нОм·м;n·m;—
0677;Кілосименс;кСм;kS;—
0678;*Сименс;См;S;0296
0679;Мілісименс;мСм;mS;—
0680;Мікросименс;мкСм;S;—
0681;Сименс на метр;См/м;S/m;—
0682;Мегасименс на метр;МСм/м;MS/m;—
0683;Кілосименс на метр;кСм/м;kS/m;—
0684;Вольт-ампер;В·А;V·A;0237
0685;*Мегавольт-ампер;МВ·А;MV·A;1854
0686;*Кіловольт-ампер;кВ·А;kV·A;0227
0687;Тисяча кіловольт-ампер;тис.кВ·А;—;0228
0688;Мільйон кіловольт-ампер;млн.кВ·А;—;0229
0689;Вар (реактивна потужність);вар;var;—
0690;*Кіловар;квар;kvar;1855
0691;Кіловольт-ампер реактивний;кВ·А реакт;—;0231
07;МАГНЕТИЗМ;;;
0701;Тесла;Тл;T;0313
0702;Мілітесла;мТл;mT;—
0703;Мікротесла;мкТл;T;—
0704;Нанотесла;нТл;nT;—
0705;*Вебер;Вб;Wb;0324
0706;Вебер на метр;Вб/м;Wb/m;—
0707;Кіловебер на метр;кВб/м;kWb/m;—
0708;Генрі;Гн;H;0287
0709;Мілігенрі;мГн;mH;1193
0710;Мікрогенрі;мкГн;H;—
0711;Наногенрі;нГн;nH;—
0712;Пікогенрі;пГн;pH;—
0713;Генрі на метр;Гн/м;H/m;—
0714;Мікрогенрі на метр;мкГн/м;H/m;
0715;Наногенрі на метр;нГн/м;nH/m;—
0716;Ампер-квадратний метр;А·м2;A·m2;—
0717;Генрі у мінус першому степені;Гн-1;H-1;—
0718;Ерстед (= 79,5775 А/м);Е;Oe;—
0719;Гаус;Гс;Gs;—
0720;Кілогаус;кГс;kGs;—
0721;Максвел (= 10-8 Вб);Мкс;Mx;—
0722;Ампер-виток;А·в;At;—
0723;Гільберт (= 0,795775 А);Гб;Gb;—
0724;Ньютон на ампер у квадраті;Н/А2;N/A2;—
0725;Джоуль на теслу;Дж/Тл;J//T;—
0726;Гаусова одиниця сили електричного струму (= 3,335664 • 10-10 А);од.СГСI;—;—
0727;Гаусова одиниця електричного заряду (= 3,335664-10-10 Кл);од.СГСQ;—;—
0728;Гаусова одиниця напруженості електричного поля (= 2,99792458·104 В/м);од.СГСE;—;—
0729;Гаусова одиниця електричного потенціалу (= 2,99792458 • 102 В);од.СГСU;—;—
0730;Гаусова одиниця електричного зміщення (= 2,65442 • 10-7 Кл/м2);од.СГСD;—;—
0731;Гаусова одиниця поляризованості (= 3,33564 • 10-5 Кл/м2);од.СГСP;—;—
0732;Гаусова одиниця намагніченості (= 103 А/м);од.СГСM;—;—
0733;Герц на вольт;Гц·В-1;Hz·V-1;—
08;СВІТЛО ТА СПОРІДНЕНІ ЕЛЕКТРОМАГНІТНІ ВИПРОМІНЕННЯ;;;
0801;Джоуль на метр у четвертому степені;Дж/м4;J/m4;—
0802;Джоуль на кубічний метр;Дж/м3;J/m3;0256
0803;Мегаджоуль на кубічний метр;МДж/м3;MJ/m3;—
0804;Джоуль на квадратний метр;Дж/м2;J/m2;—
0805;Ват на стерадіан;Вт/ср;W/sr;—
0806;Ват на стерадіан-квадратний метр;Вт/(ср·м2);W/(sr·m2);—
0807;Ват на квадратний метр;Вт/м2;W/m2;—
0808;*Кандела;кд;cd;0282
0809;Кандела на квадратний метр;кд/м2;cd/m2;—
0810;*Люкс;лк;lx;0283
0811;Люкс-секунда;лк·с;lx·s;—
0812;Люкс-година;лк·год;lx·h;—
0813;*Люмен;лм;lm;0284
0814;Люмен-секунда;лм·с;lm·s;—
0815;Люмен-година;лм·год;lm·h;—
0816;Люмен на квадратний метр;лм/м2;lm/m2;—
0817;Люмен на ват;лм/Вт;lm/W;—
0818;Секунда в мінус першому степені на стерадіан;с-1/ср;s-1/sr;—
0819;Секунда в мінус першому степені на стерадіан-квадратний метр;с-1/(ср·м2);s-1/(sr·m2);—
0820;Секунда в мінус першому степені на квадратний метр;с-1/м2;s-1/m2;—
0821;Метр у мінус другому степені;м-2;m-2;—
0822;Одиниць фотонів;одн·фот;-;—
0823;Квадратний метр на моль;м2/моль;m2/mol;—
0824;Радіан на ампер;рад/А;rad/A;—
0825;Стерадіан у мінус першому степені на метр;ср-1/м;sr-1/m;—
0826;Кубічний метр на джоуль-секунда у квадраті;м3/(Дж·с2);m3/(J·s2);
0827;Ват на квадратний метр-кельвін у четвертому степені;Вт/(м2·К4);W/(m2·K4);—
0828;Ват на метр-стерадіан;Вт/(м·ср);W/(m·sr);—
0829;Джоуль на стерадіан;Дж/ср;J/sr;—
0830;Ват на стерадіан-кубічний метр;Вт/(ср·м3);W/(sr·m3);—
0831;Джоуль на стерадіан-квадратний метр;Дж/(ср·м2);J/(sr·m2);—
0832;Радіан-квадратний метр на кілограм;рад·м2/кг;rad·m2/kg;—
0833;Діоптрія;діоп.;D;—
0834;Кандела-секунда;кд·с;cd·s;—
0835;Метр-кельвін;м·К;m·K;—
09;АКУСТИКА;;;
0901;Бел;Б;B;—
0902;Децибел;дБ;dB;—
0903;Непер;Нп;Np;0325
0904;Непер за секунду;Нп/с;Np/s;—
0905;Міліват на метр квадратний;мВт/м2;mW/m2;—
0906;Мікроват на метр квадратний;мкВт/м2;W/m2;—
0907;Піковат на метр квадратний;пВт/м2;pW/m2;—
0908;Паскаль-секунда на метр;Па·с/м;Pa·s/m;—
0909;Паскаль-секунда на кубічний метр;Па·с/м3;Pa·s/m3;0267
0910;Ньютон-секунда на метр;Н·с/м;N·s/m;—
0911;Октава;окт;—;—
0912;Міліоктава;мокт;—;—
0913;Фон;фон;phon;—
0914;Сон;сон;sone;—
0915;Декада (= lg(f2/f1)) (одиниця частотного інтервалу);дек;—;—
0916;"Цент
(1 цент = 1/1200 окт)";цент;cent;—
10;ФІЗИЧНА ХІМІЯ ТА МОЛЕКУЛЯРНА ФІЗИКА;;;
1001;Моль;моль;mol;0272
1002;Кіломоль;кмоль;kmol;—
1003;Мілімоль;ммоль;mmol;—
1004;Мікромоль;мкмоль;mol;—
1005;Грам на моль;г/моль;g/mol;—
1006;Кілограм на моль;кг/моль;kg/mol;—
1007;Кубічний метр на моль;м3/моль;m3/mol;—
1008;Дециметр кубічний на моль;дм3/моль;dm3/mol;—
1009;Сантиметр кубічний на моль;см3/моль;cm3/mol;—
1010;Літр на моль;л/моль;l/mol;—
1011;Джоуль на моль;Дж/моль;J/mol;—
1012;Кілоджоуль на моль;кДж/моль;kJ/mol;—
1013;Джоуль на моль-кельвін;Дж/(моль·К);J/(mol·K);—
1014;Метр у мінус третьому степені;м-3;m-3;
1015;Кілограм на літр;кг/л;kg/l;—
1016;Моль на кубічний метр;моль/м3;mol/m3;—
1017;Моль на кубічний дециметр;моль/дм3;mol/dm3;—
1018;Кіломоль на кубічний метр;кмоль/м3;kmol/m3;—
1019;Моль на літр;моль/л;mol/l;—
1020;Моль на кілограм;моль/кг;mol/kg;—
1021;Мілімоль на кілограм;ммоль/кг;mmol/kg;—
1022;Кулон-квадратний метр на вольт;Кл·м2/В;C·m2/V;—
1023;Джоуль на кельвін;Дж/К;J/K;0255
1024;Кулон на моль;Кл/моль;C/mol;—
1025;Сименс-квадратний метр на моль;См·м2/моль;S·m2/mol;—
1026;Радіан-квадратний метр на моль;рад·м2/моль;rad·m2/mol;—
1027;Моль за секунду;моль/с;mol/s;—
1028;Моль на кубічний метр-секунду;моль/(м3·с);mol/(m3·s);—
1029;Кулон-квадратний метр на вольт-моль;Кл·м2/(В·моль);C·m2/(V·mol);—
1030;Метр у мінус третьому степені за секунду;м-3/с;rn-3/s;—
1031;Кілограм на кулон;кг/Кл;kg/C;—
1032;Моль на квадратний метр;моль/м2;mol/m2;—
1033;Грам на літр;г/л;g/l;
1034;Міліграм на мілілітр;мг/мл;mg/ml;—
1035;Моль у мінус першому степені;моль-1;mol-1;—
1036;Джоуль-секунда-моль у мінус першому степені;Дж·с·моль-1;J·s·mol-1;—
1037;Проміле;‰;‰;—
1038;Міліграм на грам (масова частка);мг/г;mg/g;—
1039;Джоуль-тесла у мінус першому степені;Дж·Тл-1;J·T-1;—
1040;Секунда у мінус першому степені-тесла у мінус першому степені;с-1·Тл-1;s-1·T-1;—
1041;Кубічний метр-кілограм у мінус першому степені-секунда у мінус другому степені;м3·кг-1·с-2;m3·kg-1·s-2;—
11;АТОМНА ТА ЯДЕРНА ФІЗИКА;;;
1101;Ампер-квадратний метр на джоуль-секунду;А·м2/(Дж·с);A·m2/(J·s);—
1102;Електрон-вольт;еВ;eV;—
1103;Кілоелектрон-вольт;кеВ;keV;—
1104;Мегаелектрон-вольт;МеВ;MeV;—
1105;Гігаелектрон-вольт;ГеВ;GeV;—
1106;*Бекерель;Бк;Bq;0323
1107;Кілобекерель;кБк;kBq;—
1108;Мегабекерель;МБк;MBq;—
1109;Ексабекерель;ЕБк;EBq;—
1110;Петабекерель;ПБк;PBq;—
1111;Терабекерель;ТБк;TBq;—
1112;Бекерель на кілограм;Бк/кг;Bq/kg;—
1113;Кілобекерель на кілограм;кБк/кг;kBq/kg;—
1114;Мегабекерель на кілограм;МВк/кг;MBq/kg;—
1115;*Гігабекерель;ГБк;GBq;1859
1116;Бекерель на моль;Бк/моль;Bq/mol;—
1117;Бекерель на кубічний метр;Бк/м3;Bq/m3;—
1118;Джоуль на нуклон;Дж/нукл;J/nucl;—
1119;Бекерель на квадратний метр;Бк/м2;Bq/m2;—
1120;Джоуль-секунда;Дж·с;J·s;—
12;ЯДЕРНІ РЕАКЦІЇ ТА ЙОНІЗУВАЛЬНІ ВИПРОМІНЕННЯ;;;
1201;Барн (= 1·10-28 м2);б;b;—
1202;Квадратний метр на джоуль;м2/Дж;m2/J;—
1203;Квадратний метр на стерадіан-джоуль;м2/(ср·Дж);m2/(sr·J);—
1204;Одиниць(частинок) на секунду-квадратний метр;1/(с·м2);1/(c·m2);—
1205;Квадратний метр на стерадіан;м2/ср;m2/sr;—
1206;Джоуль на метр;Дж/м;J/m;—
1207;Електрон-вольт на метр;еВ/м;eV/m;—
1208;Джоуль-квадратний метр;Дж·м2;J·m2;—
1209;Електрон-вольт-квадратний метр;еВ·м2;eV·m2;—
1210;Джоуль-квадратний метр на кілограм;Дж·м2/кг;J·m2/kg;—
1211;Електрон-вольт-квадратний метр на кілограм;еВ·м2/кг;eV·m2/kg;—
1212;Квадратний метр на вольт-секунду;м2/(В·с);m2/(V·s);—
1213;*Кубічний метр за секунду;м3/с;m3/s;0933
1214;Секунда в мінус першому степені на кубічний метр;с-1/м3;s-1/m3;—
1215;*Кюрі;Кі;Ci;1861
1216;Кілокюрі;кКі;kCi;1034
1217;*Мілікюрі;мКі;mCi;1360
1218;Мікрокюрі;мкКі;Ci;—
1219;Зіверт;Зв;Sv;—
1220;Мілізіверт;мЗв;mSv;—
1221;Мікрозіверт;мкЗв;Sv;—
1222;Рад;РД;rd;—
1223;Ґрей (= 1 Дж/кг);Гр;Gy;0322
1224;Тераґрей;ТГр;TGy;—
1225;Гігаґрей;ГГр;GGy;—
1226;Мегаґрей;МГр;MGy;—
1227;Кілоґрей;кГр;kGy;—
1228;Міліґрей;мГр;mGy;—
1229;Мікроґрей;мкГр;Gy;—
1230;Ґрей за секунду;Гр/с;Gy/s;—
1231;Квадратний метр на кілограм;м2/кг;m2/kg;—
1232;Ват на кубічний метр;Вт/м3;W/m3;—
1233;Ват на кілограм;Вт/кг;W/kg;—
1234;Ґрей-квадратний метр за секунду;Гр·м2/с;Gy·m2/s;—
1235;Ґрей-квадратний метр на секунду-бекерель;Гр·м2/(сБк);Gy·m2/(s·Bq);—
1236;Зіверт за секунду;Зв/с;Sv/s;—
1237;Мілізіверт за секунду;мЗв/с;mSv/s;—
1238;Мікрозіверт за секунду;мкЗв/с;Sv/s;—
1239;Кюрі на кілограм;Кі/кг;Ci/kg;—
1240;Кілокюрі на кілограм;кКі/кг;kCi/kg;—
1241;Мілікюрі на кілограм;мКі/кг;mCi/kg;—
1242;Мікрокюрі на кілограм;мкКі/кг;Ci/kg;—
1243;Ампер на кілограм;А/кг;A/kg;—
1244;Секунда у мінус першому степені на квадратний метр-джоуль;1/(с·м2·Дж);1/(s·m2·J);—
